"","Start_Date","End_Date","Company","Lecture","Lecture_Comments","Responsive","Responsive_Comments","Student_Guide","Guide_Comment","Lab_Exercises","Lab_Comments","Classroom","Classroom_Comments","Computer","Computer_Comments","Network","Network_Comments","See_Hear","See_Hear_Comments","Years_Experience","Experience_Comments","IP_or_Telephony_Background","Background_Comments","Had_Knowledge_Skills","Knowledge_Skills_Comments","Metaswitch_Experience","Metaswitch_Exp_Comments","Attended__Appropriate_Time","Appropriate_Time_Comments","Learned_What_I_Needed","Learned_Comment","Recommend_Class","Recommend_Comments","Feedback","Instructor","Location","Course","Technical_Details"
"25","8/19/2016 4:30","8/19/2016 4:37","Bluegrass Cellular",40,"",40,"",30,"",30,"",30,"",30,"",30,"","Strongly Agree","","Eleven to Twenty Years","","IP","","Strongly Agree","","Less than 3 months","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","Perimeta SBC Deployment & Troubleshooting ","Strongly Agree   "
"26","8/19/2016 4:31","8/19/2016 4:38","Bluegrass Cellular",40,"",40,"",40,"",40,"",30,"",40,"",40,"","Strongly Agree","","One to Five Years","","IP","","Strongly Agree","","Less than 3 months","My department doesn't own the Metaswitch equipment","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","Perimeta SBC Deployment & Troubleshooting ","Strongly Agree   "
"27","8/19/2016 4:31","8/19/2016 4:35","Bluegrass Cellular",40,"",40,"",30,"",30,"",30,"",30,"",40,"","Strongly Agree","","One to Five Years","","Neither","","Agree","","Less than 3 months","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","Perimeta SBC Deployment & Troubleshooting "," Agree  "
"28","8/19/2016 4:30","8/19/2016 4:36","Bluegrass Cellular",40,"",40,"",40,"",40,"",30,"",40,"",40,"","Strongly Agree","","Six to Ten Years","","Telephony","","Strongly Agree","","12 to 23 months","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","Perimeta SBC Deployment & Troubleshooting ","Strongly Agree   "
"29","8/19/2016 4:31","8/19/2016 4:35","Bluegrass Cellular",40,"",40,"",40,"",40,"",40,"",40,"",40,"","Strongly Agree","","One to Five Years","","Both IP and Telephony","","Strongly Agree","","Less than 3 months","","Yes","","Strongly Agree","","Yes","","","    Dr. Michael Allen       ","On-site at my Company Location ","Perimeta SBC Deployment & Troubleshooting ","Strongly Agree   "
"30","8/19/2016 4:30","8/19/2016 4:36","Bluegrass Cellular",40,"",40,"",40,"",40,"",40,"",40,"",40,"","Strongly Agree","","One to Five Years","","Telephony","","Strongly Agree","","3 to 11 months","","Yes","","Strongly Agree","","Yes","","Dr. Allen made the class engaging and enjoyable. ","    Dr. Michael Allen       ","On-site at my Company Location ","Perimeta SBC Deployment & Troubleshooting ","Strongly Agree   "
"31","8/15/2016 7:01","8/15/2016 7:06","telcel",40,"",40,"",40,"",40,"",30,"",40,"",30,"","Strongly Agree","","Twenty One or More Years","","Both IP and Telephony","","Strongly Agree","","Less than 3 months","","Yes","","Strongly Agree","","Yes","","","Genaro Islas           ","On-site at my Company Location ","Perimeta SBC Accelerated Deployment ","Strongly Agree   "
"32","8/12/2016 7:59","8/12/2016 8:15","Switch Ltda",40,"",40,"",40,"",40,"",30,"",40,"",40,"","Agree","","Eleven to Twenty Years","","Both IP and Telephony","","Agree","","2 to 5 years","","Yes","","Agree","","Yes","","","          Carlos Simoni ","Other (please specify) Santiago Chile","Perimeta SBC Deployment & Troubleshooting "," Agree  "
"33","8/12/2016 7:59","8/12/2016 8:12","Switch Ltda.",40,"",40,"",40,"",40,"",30,"",30,"",40,"","Strongly Agree","","Twenty One or More Years","","Both IP and Telephony","","Strongly Agree","","2 to 5 years","","Yes","","Strongly Agree","","Yes","","one week is to short to this course","          Carlos Simoni ","Other (please specify) SCL, Santiago de Chile","Perimeta SBC Deployment & Troubleshooting "," Agree  "
"34","8/12/2016 7:58","8/12/2016 8:11","Switch Comunicaciones Ltda.",40,"Excelente manejo en general, por otro lado creo que es poco el tiempo que se da a cada modulo.",40,"",40,"",40,"",40,"",40,"",40,"","Agree","","Six to Ten Years","","Both IP and Telephony","","Agree","","12 to 23 months","","No","","Disagree","Falta tiempo para la cantidad de información que maneja Perimeta","Yes","","","          Carlos Simoni ","Other (please specify) Centro Netec Chile.","Perimeta SBC Deployment & Troubleshooting "," Agree  "
"35","8/12/2016 8:00","8/12/2016 8:08","Claro",30,"",30,"",40,"",40,"",40,"",30,"",30,"","Strongly Agree","","Six to Ten Years","","Both IP and Telephony","","Agree","","3 to 11 months","","Yes","","Agree","","Yes","","","          Carlos Simoni ","On-site at my Company Location ","Perimeta SBC Deployment & Troubleshooting "," Agree  "
"36","8/12/2016 7:58","8/12/2016 8:07","Claro Chile",40,"",40,"",40,"",40,"",30,"",30,"",30,"","Strongly Agree","","Six to Ten Years","","Both IP and Telephony","","Agree","","Less than 3 months","","Yes","","Strongly Agree","","Yes","","","          Carlos Simoni ","On-site at my Company Location ","Perimeta SBC Deployment & Troubleshooting "," Agree  "
"37","8/12/2016 7:59","8/12/2016 8:04","Claro Chile",40,"",40,"",40,"",40,"",40,"",40,"",30,"","Strongly Agree","","One to Five Years","","IP","","Agree","","Less than 3 months","","Yes","","Agree","","Yes","","","          Carlos Simoni ","Other (please specify) Santiago, Chile","Perimeta SBC Deployment & Troubleshooting "," Agree  "
"38","8/12/2016 7:58","8/12/2016 8:04","Claro Chile",40,"",40,"",40,"",40,"",30,"",40,"",30,"","Strongly Agree","","Six to Ten Years","","Both IP and Telephony","","Agree","","Less than 3 months","","Yes","","Strongly Agree","","Yes","","","          Carlos Simoni ","Other (please specify) Santiago, Chile","Perimeta SBC Deployment & Troubleshooting ","Strongly Agree   "
"39","8/12/2016 6:48","8/12/2016 7:04","Telcel",40,"",40,"",40,"",40,"",40,"",40,"",40,"","Strongly Agree","","Eleven to Twenty Years","","Telephony","","Agree","","3 to 11 months","","Yes","","Agree","","Yes","","Excellent Instructor  !!!!!","Genaro Islas           ","On-site at my Company Location ","Perimeta SBC Accelerated Deployment ","  Disagree "
"40","8/12/2016 6:45","8/12/2016 7:05","Radiomovil DIPSA",30,"",40,"",30,"",40,"",30,"",40,"",40,"","Agree","","Eleven to Twenty Years","","Both IP and Telephony","","Agree","","3 to 11 months","","No","The course need more time to completed with Test Lab excersice","Strongly Agree","","Yes","","","Genaro Islas           ","On-site at my Company Location ","Perimeta SBC Accelerated Deployment "," Agree  "
"41","8/12/2016 6:44","8/12/2016 6:59","TELCEL",40,"",40,"",40,"",30,"",30,"",40,"",40,"","Strongly Agree","","Eleven to Twenty Years","","Telephony","","Agree","","Less than 3 months","I DO NOT HAVE EXPERIENCE WITH THIS PLATFORM","Yes","","Agree","","Yes","","THANKS FOR THIS COURSE","Genaro Islas           ","On-site at my Company Location ","Perimeta SBC Accelerated Deployment "," Agree  "
"42","8/12/2016 6:44","8/12/2016 7:01","TELCEL",30,"",30,"",40,"",40,"",40,"",40,"",40,"","Agree","","Six to Ten Years","","IP","","Agree","","Less than 3 months","","Yes","","Agree","","Yes","","NO","Genaro Islas           ","Other (please specify) TELCEL PISO 4","Perimeta SBC Accelerated Deployment "," Agree  "
"43","8/12/2016 6:46","8/12/2016 6:53","Telcel",40,"",40,"",40,"",40,"",30,"",30,"",30,"","Agree","","Eleven to Twenty Years","","Telephony","","Agree","","3 to 11 months","","Yes","","Agree","","Yes","","","Genaro Islas           ","On-site at my Company Location ","Perimeta SBC Accelerated Deployment ","Strongly Agree   "
"44","8/12/2016 6:45","8/12/2016 6:56","Telcel",40,"",40,"",30,"",30,"",30,"",30,"",30,"","Agree","","Eleven to Twenty Years","","Both IP and Telephony","","Agree","","3 to 11 months","","Yes","","Agree","","Yes","","El desarrollo del curso estuvo muy bien, únicamente seria bueno ajustar el curso a 5 días para tener mas tiempo para tratar los temas y las practicas.","Genaro Islas           ","On-site at my Company Location ","Perimeta SBC Accelerated Deployment ","Strongly Agree   "
"45","8/12/2016 6:44","8/12/2016 6:54","TELCEL",40,"",40,"",30,"",30,"",30,"",30,"",30,"","Agree","","Eleven to Twenty Years","","Telephony","","Agree","","","No trabajo directamente con el equipo soy parte de CORE","Yes","","Agree","","Yes","","","Genaro Islas           ","On-site at my Company Location ","Perimeta SBC Accelerated Deployment "," Agree  "
"46","8/12/2016 6:44","8/12/2016 6:53","Telcel",30,"",40,"",40,"",40,"",40,"",30,"",40,"","Strongly Agree","","Eleven to Twenty Years","","Telephony","","Agree","","12 to 23 months","","Yes","","Agree","","Yes","","","Genaro Islas           ","Other (please specify) Telcel Mexico","Perimeta SBC Accelerated Deployment "," Agree  "
"47","8/12/2016 6:44","8/12/2016 7:00","TELCEL",40,"",40,"",40,"",40,"",40,"",40,"",40,"","Strongly Agree","","Eleven to Twenty Years","","Both IP and Telephony","","Strongly Agree","","12 to 23 months","","Yes","","Strongly Agree","","Yes","I WILL RECOMMEND THIS COURSE TO MY COWORKERS","I LIKED THE WAY YOU ARE, EXCELLENTCOMPANY","Genaro Islas           ","On-site at my Company Location ","Perimeta SBC Accelerated Deployment ","Strongly Agree   "
"48","8/12/2016 6:44","8/12/2016 6:53","Telcel",40,"",40,"",40,"",40,"",40,"",40,"",40,"","Strongly Agree","","One to Five Years","","","","Strongly Agree","","3 to 11 months","","Yes","","Strongly Agree","","Yes","","","Genaro Islas           ","On-site at my Company Location ","Perimeta SBC Accelerated Deployment ","Strongly Agree   "
"49","8/12/2016 4:55","8/12/2016 5:05","Pioneer Communications",40,"",40,"",30,"",30,"I would prefer the lab exercises to be structured for individual use, rather than as team efforts.  Also would prefer the lab guides not to include information/worksheets from other training centers.  ",40,"",40,"",40,"","Strongly Agree","small complaint, but the projector would be easier to see if the fluorescent lights were turned off over the screen.","Twenty One or More Years","","Telephony","","Strongly Agree","","2 to 5 years","","Yes","","Agree","","Yes","","","   Jason Anderson        ","Denver (DTC) ","HPBX Deployment & Troubleshooting "," Agree  "
